pais,TasaFertil1mMuje,EmployPerPop,Tuberculosis100m,MaterMort100m,UndernourishPerPop
LBR,"130,0688","52,71900177",308,725,"42,8"
LBY,"5,7966","18,83399963",40,9,
LCA,"41,9872","44,17200089","9,1",48,17
LCN,"63,49142737","47,32517807",41,67,"6,575607472"
LDC,"94,20348198","53,50107935",,436,"23,28918549"
LIC,"96,60424579","60,58322222",231,479,"27,89543728"
LIE,,,,,
LKA,"15,5636","32,2480011",65,30,"22,1"
LMC,"47,77452218","35,07319134",232,257,"13,36176762"
LMY,"49,1883538","45,27686045",167,238,"12,35109422"
LSO,"89,9072","41,64400101",788,487,"14,5"
LTE,"21,54813607","56,55759313",,34,"8,256769006"
LTU,"12,101","50,09500122",55,10,"2,5"
LUX,"5,6798","49,62200165","6,1",10,"2,5"
LVA,"14,1934","49,57500076",40,18,"2,5"
MAC,"2,727","65,53500366",71,,"6,3"
MAF,,,,,
MCO,,,0,,
MDA,"23,4344","40,0530014",102,23,"8,5"
MDG,"113,7668","81,9489975",236,353,"42,3"
MDV,"7,1988","41,81800079",46,68,"8,5"
MEA,"38,61314273","16,52763348",33,81,"8,371356642"
MEX,"62,5464","41,93600082",21,38,"4,2"
MHL,,,326,,
MIC,"40,87568874","43,71681034",159,180,"10,74171312"
MKD,"16,9288","32,625",17,8,"3,9"
MLI,"173,0382","55,27500153",57,587,4
MLT,"16,9792","39,44800186","8,6",9,"2,5"
MMR,"29,402","51,29499817",365,178,"16,9"
MNA,"42,0515303","14,5285162",37,90,"9,114472284"
MNE,"12,4102","35,37900162",15,7,"2,5"
MNG,"24,8272","51,4109993",197,44,"19,6"
MNP,,,59,,
MOZ,"142,6462","60,34400177",551,489,"26,6"
MRT,"81,7854","26,98500061",107,602,"5,3"
MUS,"27,2926","40,80199814",22,53,"5,2"
MWI,"141,779","67,33000183",193,634,"25,9"
MYS,"13,308","48,60400009",88,40,"2,5"
NAC,"21,34675142","53,3563527","3,5",13,"2,501882575"
NAM,"76,1964","45,44800186",495,265,"28,8"
NCL,"19,876","48,69499969",24,,"9,1"
NER,"196,034","67,39299774",95,553,"11,3"
NGA,"111,218","48,4109993",219,814,"7,9"
NIC,"88,3512","46,74700165",51,150,17
NLD,"4,175","53,97200012","5,8",7,"2,5"
NOR,"5,7708","58,875","6,3",5,"2,5"
NPL,"63,6844","80,13300323",156,258,"8,1"
NRU,,,113,,
NZL,"21,1848","59,15599823","7,3",11,"2,5"
OED,"22,35270503","47,61409926",,14,"2,686162154"
OMN,"8,573","26,62400055",9,17,"6,2"
OSS,"62,75222716","45,10547022",,316,"15,36624732"
PAK,"38,4744","22,43199921",270,178,"19,9"
PAN,"83,8412","48,79199982",52,94,"9,3"
PER,"49,3358","66,0510025",119,68,"7,9"
PHL,"59,211","47,79899979",550,114,"13,8"
PLW,,,76,,
PNG,"54,2226","67,89499664",432,215,
POL,"13,3568","45,21900177",19,3,"2,5"
PRE,"111,5527388","53,68824103",,568,"20,3098211"
PRI,"39,543","29,81200027","1,6",14,
PRK,"0,2928","71,75299835",513,82,"40,8"
PRT,"10,4192","46,92499924",23,10,"2,5"
PRY,"57,5128","53,16199875",41,132,12
PSE,"58,065","11,61299992","1,1",45,
PSS,"39,01814289","45,27088837",,75,"7,35789007"
PST,"14,11985722","49,31235334",,10,"2,510714074"
PYF,"36,269","37,5320015",19,,"4,9"
QAT,"10,4604","58,46900177",25,13,
ROU,"34,3786","42,54700089",82,31,"2,5"
RUS,"23,4998","53,74100113",68,25,"2,5"
RWA,"27,8358","85,0490036",56,290,"41,1"
SAS,"35,06693153","27,00123975",220,182,"15,29130236"
SAU,"8,823","17,31399918",12,12,"4,4"
SDN,"70,399","18,12800026",88,311,"25,6"
SEN,"77,0508","42,83499908",139,315,"11,3"
SGP,"3,7704","59,73699951",45,10,
SLB,"49,2814","61,24200058",89,114,"13,9"
SLE,"118,3336","55,01599884",307,1360,"30,9"
SLV,"71,0814","45,50699997",49,54,"12,3"
SMR,,,0,,
SOM,"104,235","17,20700073",274,732,
SRB,"19,7254","35,70999908",21,17,"5,6"
SSA,"103,5413821","57,8689845",264,547,"20,14728821"
SSD,"68,4536","61,47499847",146,789,
SSF,"103,5389925","57,8689845",264,547,"20,14728821"
SST,"59,67369204","45,35868145",,272,"13,23585661"
STP,"97,6724","32,34400177",97,156,"13,5"
SUR,"47,3324","37,38800049",33,155,"7,9"
SVK,"22,2734","45,29700089","6,5",6,"3,1"
SVN,"4,4396","46,81299973","7,2",9,"2,5"
SWE,"5,3086","56,22499847","9,2",4,"2,5"
SWZ,"80,0864","30,75699997",485,389,"19,6"
SXM,,,"5,9",,
SYC,"58,6768",,"9,8",,
SYR,"40,4704","7,47300005",19,68,
TCA,,,"6,7",,
TCD,"167,942","60,48600006",152,856,"32,5"
TEA,"22,95524072","58,23595694",,63,"9,816408923"
TEC,"25,45104995","45,95467352",,23,"3,556569235"
TGO,"90,1494","74,90299988",52,368,"11,5"
THA,"51,7358","60,5909996",172,20,"9,5"
TJK,"37,4176","40,64199829",86,32,"30,1"
TKM,"25,2328","51,42200089",68,42,"5,5"
TLA,"63,8594768","47,55684098",,68,"6,650433656"
TLS,"47,2688","24,11000061",498,215,"26,9"
TMN,"41,7938376","14,55908104",,91,"9,114472284"
TON,"15,438","44,46699905",15,124,
TSA,"35,06693153","27,00123975",,182,"15,29130236"
TSS,"103,5389925","57,8689845",,547,"20,14728821"
TTO,"31,976","49,53499985",17,63,"4,8"
TUN,"7,6278","19,11800003",38,62,5
TUR,"28,006","27,54000092",18,16,"2,5"
TUV,,,209,,
TZA,"118,1232","77,40799713",306,398,"32,3"
UGA,"114,5604","64,76399994",202,343,39
UKR,"25,4852","43,51499939",91,24,"2,5"
UMC,"29,85210966","52,19617895",76,41,"7,764839512"
URY,"56,0292","50,7879982",30,15,"2,5"
USA,"22,441","52,94100189","3,3",14,"2,5"
UZB,"16,9212","49,50999832",79,36,"6,3"
VCT,"51,2152","46,9469986","7,4",45,6
VEN,"86,3302","47,10800171",29,95,13
VGB,,,0,,
VIR,"44,121","52,93399811","7,7",,
VNM,"30,7942","71,91400146",137,54,"10,7"
VUT,"43,0728","57,88899994",63,78,"6,9"
WLD,"45,1461497","45,90779112",142,216,"10,7"
WSM,"25,632","21,4109993",11,51,"3,2"
XKX,,,,,
YEM,"63,28","4,499000072",48,385,"28,8"
ZAF,"46,068","34,63499832",807,138,"4,6"
ZMB,"89,1276","64,22599792",391,224,"45,9"
ZWE,"107,5554","73,60399628",242,443,"44,7"
(blank),,,,,
Grand Total,"11581,89408","10956,81638","25233,29",39869,"2457,756556"
